"","Year","Location","Average_Income_from_All_Sources_collected","Median_Income_from_All_Sources_collected","Number_of_households","Scene","Offence","Measure","Value","Flags"
"1",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Total Offences","Recorded",461677,NA
"2",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Homicide and related offences","Recorded",98,NA
"3",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Acts intended to cause injury","Recorded",29773,NA
"4",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Sexual assault and related offences","Recorded",2348,NA
"5",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",933,NA
"6",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",9207,NA
"7",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Robbery, extortion and related offences","Recorded",2201,NA
"8",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",78550,NA
"9",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Theft and related offences","Recorded",177638,NA
"10",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Fraud, deception and related offences","Recorded",25248,NA
"11",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Illicit drug offences","Recorded",26783,NA
"12",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6081,NA
"13",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Property damage and environmental pollution","Recorded",46503,NA
"14",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Public order offences","Recorded",36597,NA
"15",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",16699,NA
"16",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Miscellaneous offences","Recorded",3018,NA
"17",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Total Offences","Recorded",438074,NA
"18",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Homicide and related offences","Recorded",94,NA
"19",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Acts intended to cause injury","Recorded",29187,NA
"20",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Sexual assault and related offences","Recorded",2189,NA
"21",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",768,NA
