"","Year","Location","Average_Income_from_All_Sources_collected","Median_Income_from_All_Sources_collected","Number_of_households"
"1",1998,"Total New Zealand",910,756,1227.2
"2",1999,"Total New Zealand",943,786,1240.1
"3",2000,"Total New Zealand",950,794,1251.1
"4",2001,"Total New Zealand",1012,845,1260.7
"5",2002,"Total New Zealand",1063,891,1276.9
"6",2003,"Total New Zealand",1110,912,1312.5
"7",2004,"Total New Zealand",1157,959,1341
"8",2005,"Total New Zealand",1208,1017,1357.9
"9",2006,"Total New Zealand",1248,1080,1381.3
"10",2007,"Total New Zealand",1345,1151,1393.1
"11",2008,"Total New Zealand",1384,1200,1401
"12",2009,"Total New Zealand",1395,1189,1420.2
"13",2010,"Total New Zealand",1421,1199,1433.3
"14",2011,"Total New Zealand",1456,1243,1428.1
"15",2012,"Total New Zealand",1486,1268,1439.8
"16",2013,"Total New Zealand",1534,1318,1442
"17",2014,"Total New Zealand",1633,1378,1454.1
"18",2015,"Total New Zealand",1674,1410,1494.8
"19",2016,"Total New Zealand",1810,1532,1491.8
"20",2017,"Total New Zealand",1859,1575,1522.3
"21",2018,"Total New Zealand",1999,1707,1541.3
"22",2019,"Total New Zealand",2039,1760,1570.7
"23",2020,"Total New Zealand",2021,1746,1593.3
"24",2021,"Total New Zealand",2198,1880,1620.6
"25",1998,"Northlan District",702,575,45.3
"26",1999,"Northlan District",754,581,45.8
"27",2000,"Northlan District",736,593,45.6
"28",2001,"Northlan District",786,634,47.8
"29",2002,"Northlan District",846,660,46.7
"30",2003,"Northlan District",899,761,47.8
"31",2004,"Northlan District",925,767,46.5
"32",2005,"Northlan District",1074,850,48.7
"33",2006,"Northlan District",1055,945,49.2
"34",2007,"Northlan District",1174,960,50.3
"35",2008,"Northlan District",1030,911,52.5
"36",2009,"Northlan District",1143,1001,51.1
"37",2010,"Northlan District",1181,972,51.9
"38",2011,"Northlan District",1204,964,52.9
"39",2012,"Northlan District",1112,948,54
"40",2013,"Northlan District",1222,1020,52.5
"41",2014,"Northlan District",1284,1043,53.6
"42",2015,"Northlan District",1315,1002,57.4
"43",2016,"Northlan District",1367,1227,56.5
"44",2017,"Northlan District",1401,1151,56
"45",2018,"Northlan District",1649,1343,59.6
"46",2019,"Northlan District",1701,1311,57.5
"47",2020,"Northlan District",1637,1339,60.6
"48",2021,"Northlan District",1720,1534,60.5
"49",1998,"Auckland District",1066,900,368.5
"50",1999,"Auckland District",1074,914,376.8
"51",2000,"Auckland District",1097,921,384.1
"52",2001,"Auckland District",1162,955,381.7
"53",2002,"Auckland District",1206,1034,395.5
"54",2003,"Auckland District",1264,1030,412.8
"55",2004,"Auckland District",1362,1072,428.7
"56",2005,"Auckland District",1365,1120,433.6
"57",2006,"Auckland District",1344,1166,440.6
"58",2007,"Auckland District",1425,1218,450.7
"59",2008,"Auckland District",1516,1304,457.5
"60",2009,"Auckland District",1466,1247,462.4
"61",2010,"Auckland District",1519,1244,464.7
"62",2011,"Auckland District",1600,1381,466.1
"63",2012,"Auckland District",1656,1366,475.7
"64",2013,"Auckland District",1661,1406,473.3
"65",2014,"Auckland District",1766,1458,482.7
"66",2015,"Auckland District",1865,1534,482.4
"67",2016,"Auckland District",2018,1686,488.3
"68",2017,"Auckland District",2113,1784,498.7
"69",2018,"Auckland District",2256,1937,501.6
"70",2019,"Auckland District",2249,1967,514.8
"71",2020,"Auckland District",2217,1918,518.7
"72",2021,"Auckland District",2457,2071,535.2
"73",1998,"Waikato District",864,729,113.3
"74",1999,"Waikato District",839,720,118.6
"75",2000,"Waikato District",892,770,119.8
"76",2001,"Waikato District",921,806,119.6
"77",2002,"Waikato District",999,864,121.9
"78",2003,"Waikato District",1017,896,126.4
"79",2004,"Waikato District",1081,882,127.2
"80",2005,"Waikato District",1141,997,127.7
"81",2006,"Waikato District",1192,1074,130.3
"82",2007,"Waikato District",1300,1128,128.5
"83",2008,"Waikato District",1313,1200,130
"84",2009,"Waikato District",1342,1197,133
"85",2010,"Waikato District",1308,1151,133.4
"86",2011,"Waikato District",1368,1150,133.9
"87",2012,"Waikato District",1499,1219,133.2
"88",2013,"Waikato District",1428,1244,136.3
"89",2014,"Waikato District",1414,1211,143.5
"90",2015,"Waikato District",1537,1314,147.1
"91",2016,"Waikato District",1766,1486,142.7
"92",2017,"Waikato District",1707,1498,144.5
"93",2018,"Waikato District",1904,1675,149.1
"94",2019,"Waikato District",1955,1726,155.2
"95",2020,"Waikato District",1977,1712,157
"96",2021,"Waikato District",2083,1812,156
"97",1998,"Bay Of Plenty District",841,701,74.7
"98",1999,"Bay Of Plenty District",865,767,76.6
"99",2000,"Bay Of Plenty District",815,692,79.9
"100",2001,"Bay Of Plenty District",899,729,77.6
"101",2002,"Bay Of Plenty District",925,767,79.7
"102",2003,"Bay Of Plenty District",1001,819,80
