"","Location","Scene","Offence","Year","Measure","Value","Flags"
"1","Waitemata District","Total Scene","Total Offences",1994,"Recorded",31026,NA
"2","Waitemata District","Total Scene","Total Offences",1995,"Recorded",35144,NA
"3","Waitemata District","Total Scene","Total Offences",1996,"Recorded",38242,NA
"4","Waitemata District","Total Scene","Total Offences",1997,"Recorded",39575,NA
"5","Waitemata District","Total Scene","Total Offences",1998,"Recorded",38356,NA
"6","Waitemata District","Total Scene","Total Offences",1999,"Recorded",37554,NA
"7","Waitemata District","Total Scene","Total Offences",2000,"Recorded",38266,NA
"8","Waitemata District","Total Scene","Total Offences",2001,"Recorded",37583,NA
"9","Waitemata District","Total Scene","Total Offences",2002,"Recorded",39710,NA
"10","Waitemata District","Total Scene","Total Offences",2003,"Recorded",41106,NA
"11","Waitemata District","Total Scene","Total Offences",2004,"Recorded",38074,NA
"12","Waitemata District","Total Scene","Total Offences",2005,"Recorded",37996,NA
"13","Waitemata District","Total Scene","Total Offences",2006,"Recorded",40206,NA
"14","Waitemata District","Total Scene","Total Offences",2007,"Recorded",38784,NA
"15","Waitemata District","Total Scene","Total Offences",2008,"Recorded",39763,NA
"16","Waitemata District","Total Scene","Total Offences",2009,"Recorded",40835,NA
"17","Waitemata District","Total Scene","Total Offences",2010,"Recorded",36392,NA
"18","Waitemata District","Total Scene","Total Offences",2011,"Recorded",36214,NA
"19","Waitemata District","Total Scene","Total Offences",2012,"Recorded",31718,NA
"20","Waitemata District","Total Scene","Total Offences",2013,"Recorded",31704,NA
"21","Waitemata District","Total Scene","Total Offences",2014,"Recorded",32043,NA
"22","Waitemata District","Total Scene","Homicide and related offences",1994,"Recorded",11,NA
"23","Waitemata District","Total Scene","Homicide and related offences",1995,"Recorded",1,NA
"24","Waitemata District","Total Scene","Homicide and related offences",1996,"Recorded",9,NA
"25","Waitemata District","Total Scene","Homicide and related offences",1997,"Recorded",15,NA
"26","Waitemata District","Total Scene","Homicide and related offences",1998,"Recorded",8,NA
"27","Waitemata District","Total Scene","Homicide and related offences",1999,"Recorded",7,NA
"28","Waitemata District","Total Scene","Homicide and related offences",2000,"Recorded",10,NA
"29","Waitemata District","Total Scene","Homicide and related offences",2001,"Recorded",5,NA
"30","Waitemata District","Total Scene","Homicide and related offences",2002,"Recorded",10,NA
"31","Waitemata District","Total Scene","Homicide and related offences",2003,"Recorded",8,NA
"32","Waitemata District","Total Scene","Homicide and related offences",2004,"Recorded",4,NA
"33","Waitemata District","Total Scene","Homicide and related offences",2005,"Recorded",6,NA
"34","Waitemata District","Total Scene","Homicide and related offences",2006,"Recorded",5,NA
"35","Waitemata District","Total Scene","Homicide and related offences",2007,"Recorded",5,NA
"36","Waitemata District","Total Scene","Homicide and related offences",2008,"Recorded",3,NA
"37","Waitemata District","Total Scene","Homicide and related offences",2009,"Recorded",8,NA
"38","Waitemata District","Total Scene","Homicide and related offences",2010,"Recorded",9,NA
"39","Waitemata District","Total Scene","Homicide and related offences",2011,"Recorded",7,NA
"40","Waitemata District","Total Scene","Homicide and related offences",2012,"Recorded",1,NA
"41","Waitemata District","Total Scene","Homicide and related offences",2013,"Recorded",6,NA
"42","Waitemata District","Total Scene","Homicide and related offences",2014,"Recorded",14,NA
"43","Waitemata District","Total Scene","Acts intended to cause injury",1994,"Recorded",2498,NA
"44","Waitemata District","Total Scene","Acts intended to cause injury",1995,"Recorded",2638,NA
"45","Waitemata District","Total Scene","Acts intended to cause injury",1996,"Recorded",2731,NA
"46","Waitemata District","Total Scene","Acts intended to cause injury",1997,"Recorded",2766,NA
"47","Waitemata District","Total Scene","Acts intended to cause injury",1998,"Recorded",2738,NA
"48","Waitemata District","Total Scene","Acts intended to cause injury",1999,"Recorded",2669,NA
"49","Waitemata District","Total Scene","Acts intended to cause injury",2000,"Recorded",2922,NA
"50","Waitemata District","Total Scene","Acts intended to cause injury",2001,"Recorded",3292,NA
"51","Waitemata District","Total Scene","Acts intended to cause injury",2002,"Recorded",3409,NA
"52","Waitemata District","Total Scene","Acts intended to cause injury",2003,"Recorded",3284,NA
"53","Waitemata District","Total Scene","Acts intended to cause injury",2004,"Recorded",3341,NA
"54","Waitemata District","Total Scene","Acts intended to cause injury",2005,"Recorded",3255,NA
"55","Waitemata District","Total Scene","Acts intended to cause injury",2006,"Recorded",3424,NA
"56","Waitemata District","Total Scene","Acts intended to cause injury",2007,"Recorded",3858,NA
"57","Waitemata District","Total Scene","Acts intended to cause injury",2008,"Recorded",3952,NA
"58","Waitemata District","Total Scene","Acts intended to cause injury",2009,"Recorded",4017,NA
"59","Waitemata District","Total Scene","Acts intended to cause injury",2010,"Recorded",3787,NA
"60","Waitemata District","Total Scene","Acts intended to cause injury",2011,"Recorded",3656,NA
